ChatGPT,GPT 5.2 Low,#10a37f,"OpenAI flagship model - helpful, harmless, and honest by design.",1,1
ChatGPT,GPT 5.2 Low,#10a37f,"OpenAI flagship model - helpful, harmless, and honest by design.",2,2
ChatGPT,GPT 5.2 Low,#10a37f,"OpenAI flagship model - helpful, harmless, and honest by design.",3,2
ChatGPT,GPT 5.2 Low,#10a37f,"OpenAI flagship model - helpful, harmless, and honest by design.",4,2
ChatGPT,GPT 5.2 Low,#10a37f,"OpenAI flagship model - helpful, harmless, and honest by design.",5,1
ChatGPT,GPT 5.2 Low,#10a37f,"OpenAI flagship model - helpful, harmless, and honest by design.",6,2
ChatGPT,GPT 5.2 Low,#10a37f,"OpenAI flagship model - helpful, harmless, and honest by design.",7,1
ChatGPT,GPT 5.2 Low,#10a37f,"OpenAI flagship model - helpful, harmless, and honest by design.",8,2
ChatGPT,GPT 5.2 Low,#10a37f,"OpenAI flagship model - helpful, harmless, and honest by design.",9,1
ChatGPT,GPT 5.2 Low,#10a37f,"OpenAI flagship model - helpful, harmless, and honest by design.",10,2
ChatGPT,GPT 5.2 Low,#10a37f,"OpenAI flagship model - helpful, harmless, and honest by design.",11,1
ChatGPT,GPT 5.2 Low,#10a37f,"OpenAI flagship model - helpful, harmless, and honest by design.",12,2
ChatGPT,GPT 5.2 Low,#10a37f,"OpenAI flagship model - helpful, harmless, and honest by design.",13,2
ChatGPT,GPT 5.2 Low,#10a37f,"OpenAI flagship model - helpful, harmless, and honest by design.",14,2
ChatGPT,GPT 5.2 Low,#10a37f,"OpenAI flagship model - helpful, harmless, and honest by design.",15,2
ChatGPT,GPT 5.2 Low,#10a37f,"OpenAI flagship model - helpful, harmless, and honest by design.",16,2
ChatGPT,GPT 5.2 Low,#10a37f,"OpenAI flagship model - helpful, harmless, and honest by design.",17,1
ChatGPT,GPT 5.2 Low,#10a37f,"OpenAI flagship model - helpful, harmless, and honest by design.",18,2
ChatGPT,GPT 5.2 Low,#10a37f,"OpenAI flagship model - helpful, harmless, and honest by design.",19,2
ChatGPT,GPT 5.2 Low,#10a37f,"OpenAI flagship model - helpful, harmless, and honest by design.",20,2
ChatGPT,GPT 5.2 Low,#10a37f,"OpenAI flagship model - helpful, harmless, and honest by design.",21,2
ChatGPT,GPT 5.2 Low,#10a37f,"OpenAI flagship model - helpful, harmless, and honest by design.",22,2
